id,name,category,unit,unitPrice,currency,supplier,isActive
"03Y9sll3V1lF0EGvsvOV","Couteaux bois","NON ALIMENTAIRE","pc","","USD","","true"
"07ZcccH8kIYAVUdCClCB","Gel chafing dish","NON ALIMENTAIRE","pc","","USD","","true"
"0tpH6zaINYyC3bhMh6th","Yaourt frais","PRODUIT LAITIER","pc","","USD","","true"
"0uQeVkAmjs87SxzUg2hA","Vinaigre blanc","EPICERIE","ml","","USD","","true"
"0y6E2RSGqYZD72jEtUFs","Safu","FRUIT","kg","","USD","","true"
"1IgxdhRrXiRSsCMOMRAO","Vinaigre balsamique","EPICERIE","ml","","USD","","true"
"1V8e9DAaYD0hFVlbIPQp","Café","EPICERIE","g","","USD","","true"
"1kFgZkLoRChXaoPw92an","Glace vanille","PRODUIT LAITIER","ml","","USD","","true"
"1yzpqpMIKNJmGua70api","Castel","BOISSON","pc","","USD","","true"
"22VT14mxd8eWBRm6l7iA","Lard fumé","CHARCUTERIE","100g","","USD","","true"
"2CfF3nsFGsoZQCsanNd2","Bougie","NON ALIMENTAIRE","pc","","USD","","true"
"2YYJgZskY1kd5faCAlxU","Alcool GM","BOISSON","l","","USD","","true"
"2umDWiiPVm0hpPcV6s6A","Lait liquide","PRODUIT LAITIER","l","","USD","","true"
"4deoL7fgNqkrRXoqNWbT","Sucre","EPICERIE","kg","","USD","","true"
"4tqAmiaXbpuORphl53A1","Coca zero","BOISSON","pc","","USD","","true"
"58cjmuZPOSx3hcRlStFu","Fourchette bois","NON ALIMENTAIRE","pc","","USD","","true"
"5Q1bur31W20NzxINiklS","Fromage gouda jeune","PRODUIT LAITIER","g","","USD","","true"
"5hBiJYqgJzBW5aTmOuuS","Œufs","EPICERIE","pc","","USD","","true"
"6Wd6wfNjtbtu8MmQj0n1","Chapelure","EPICERIE","g","","USD","","true"
"6ftjb1EeVaU2gjc5GTbG","Gambas petit","POISSON","kg","","USD","","true"
"6tznKK7MQvbCkV4D36Vt","Saucisse de Goma","VIANDE","kg","","USD","","true"
"7E1VK530wMQYsHMultdQ","Ananas","FRUIT","pc","","USD","","true"
"7eshMT7ceK0BRvUw36Yq","Saucisson de jambon","CHARCUTERIE","g","","USD","","true"
"7vUwx45Sw9UlVbrqkwjp","Citron jaune","FRUIT","g","","USD","","true"
"8sayIenSlhnFx8YQfVuQ","Lardon, bacon","CHARCUTERIE","kg","","USD","","true"
"8wdLcjLDaC11Bg3WbsyF","Cassonade","EPICERIE","g","","USD","","true"
"9Rjirvm3SPzjsHBUd6Q7","Saumon","CHARCUTERIE","g","","USD","","true"
"9kx6jUUATkBKFOyCopdQ","Bananes","FRUIT","kg","","USD","","true"
"9nj2n7FnBJdSSXoBJKjS","Fraises","FRUIT","g","","USD","","true"
"9rPesnJDPDEPtYnN2kuA","Pasthèque","FRUIT","g","","USD","","true"
"9uL6AOTkQS007NT1FHV8","Fromage parmesan","PRODUIT LAITIER","g","","USD","","true"
